{'loss': 0.6931, 'grad_norm': 26.219816207885742, 'learning_rate': 1e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -9.16252326965332, 'logps/rejected': -72.93712615966797, 'logits/chosen': -18.747289657592773, 'logits/rejected': -18.851369857788086, 'epoch': 0.0}
{'loss': 0.7294, 'grad_norm': 60.1501579284668, 'learning_rate': 8.499999999999999e-07, 'rewards/chosen': -0.03229370340704918, 'rewards/rejected': 0.03895263746380806, 'rewards/accuracies': 0.0, 'rewards/margins': -0.07124634087085724, 'logps/chosen': -170.139404296875, 'logps/rejected': -145.07968139648438, 'logits/chosen': -19.144590377807617, 'logits/rejected': -21.006855010986328, 'epoch': 0.02}
{'loss': 0.7221, 'grad_norm': 121.12030792236328, 'learning_rate': 8.399999999999999e-07, 'rewards/chosen': 0.005087662022560835, 'rewards/rejected': 0.0621337890625, 'rewards/accuracies': 0.0, 'rewards/margins': -0.05704612657427788, 'logps/chosen': -23.497310638427734, 'logps/rejected': -240.49514770507812, 'logits/chosen': -12.00462532043457, 'logits/rejected': -14.601561546325684, 'epoch': 0.02}
{'loss': 0.6735, 'grad_norm': 91.65409851074219, 'learning_rate': 8.299999999999999e-07, 'rewards/chosen': 0.0323486328125, 'rewards/rejected': -0.0072875977493822575, 'rewards/accuracies': 1.0, 'rewards/margins': 0.03963623195886612, 'logps/chosen': -832.6805419921875, 'logps/rejected': -382.7375183105469, 'logits/chosen': -21.51510238647461, 'logits/rejected': -21.134248733520508, 'epoch': 0.02}
{'loss': 0.674, 'grad_norm': 63.264671325683594, 'learning_rate': 8.199999999999999e-07, 'rewards/chosen': 0.055910494178533554, 'rewards/rejected': 0.01730957068502903, 'rewards/accuracies': 1.0, 'rewards/margins': 0.038600921630859375, 'logps/chosen': -125.8215103149414, 'logps/rejected': -129.1612548828125, 'logits/chosen': -24.723936080932617, 'logits/rejected': -18.11743927001953, 'epoch': 0.02}
{'loss': 0.638, 'grad_norm': 108.25730895996094, 'learning_rate': 8.1e-07, 'rewards/chosen': 0.012622070498764515, 'rewards/rejected': -0.10082397609949112, 'rewards/accuracies': 1.0, 'rewards/margins': 0.11344604939222336, 'logps/chosen': -777.5751953125, 'logps/rejected': -457.08502197265625, 'logits/chosen': -19.47780990600586, 'logits/rejected': -20.74021339416504, 'epoch': 0.02}
{'loss': 0.7185, 'grad_norm': 119.06401824951172, 'learning_rate': 8e-07, 'rewards/chosen': -0.03872985765337944, 'rewards/rejected': 0.011325073428452015, 'rewards/accuracies': 0.0, 'rewards/margins': -0.05005493015050888, 'logps/chosen': -280.73992919921875, 'logps/rejected': -132.00294494628906, 'logits/chosen': -23.436424255371094, 'logits/rejected': -11.270929336547852, 'epoch': 0.02}
{'loss': 0.6777, 'grad_norm': 74.57352447509766, 'learning_rate': 7.9e-07, 'rewards/chosen': 0.05400696024298668, 'rewards/rejected': 0.02295532263815403, 'rewards/accuracies': 1.0, 'rewards/margins': 0.03105163760483265, 'logps/chosen': -490.9125671386719, 'logps/rejected': -361.43505859375, 'logits/chosen': -20.562776565551758, 'logits/rejected': -17.7435302734375, 'epoch': 0.02}
{'loss': 0.6584, 'grad_norm': 105.28087615966797, 'learning_rate': 7.799999999999999e-07, 'rewards/chosen': 0.05209045484662056, 'rewards/rejected': -0.01869812048971653, 'rewards/accuracies': 1.0, 'rewards/margins': 0.07078857719898224, 'logps/chosen': -157.8021697998047, 'logps/rejected': -233.21559143066406, 'logits/chosen': -24.597549438476562, 'logits/rejected': -22.76386260986328, 'epoch': 0.02}
{'loss': 0.6624, 'grad_norm': 104.53630065917969, 'learning_rate': 7.699999999999999e-07, 'rewards/chosen': 0.005313110537827015, 'rewards/rejected': -0.05723266676068306, 'rewards/accuracies': 1.0, 'rewards/margins': 0.0625457763671875, 'logps/chosen': -194.08453369140625, 'logps/rejected': -870.4293823242188, 'logits/chosen': -18.593263626098633, 'logits/rejected': -20.811298370361328, 'epoch': 0.02}
{'loss': 0.6825, 'grad_norm': 94.57205200195312, 'learning_rate': 7.599999999999999e-07, 'rewards/chosen': 0.03031005896627903, 'rewards/rejected': 0.00894775427877903, 'rewards/accuracies': 1.0, 'rewards/margins': 0.0213623046875, 'logps/chosen': -1007.6756591796875, 'logps/rejected': -701.8035278320312, 'logits/chosen': -18.709726333618164, 'logits/rejected': -18.618881225585938, 'epoch': 0.02}
{'loss': 0.7285, 'grad_norm': 110.36257934570312, 'learning_rate': 7.5e-07, 'rewards/chosen': -0.03997192531824112, 'rewards/rejected': 0.02952880971133709, 'rewards/accuracies': 0.0, 'rewards/margins': -0.06950073689222336, 'logps/chosen': -911.8720092773438, 'logps/rejected': -873.9415283203125, 'logits/chosen': -17.257381439208984, 'logits/rejected': -17.627681732177734, 'epoch': 0.03}
{'loss': 0.678, 'grad_norm': 213.8518829345703, 'learning_rate': 7.4e-07, 'rewards/chosen': 0.02557373046875, 'rewards/rejected': -0.0048614502884447575, 'rewards/accuracies': 1.0, 'rewards/margins': 0.03043518029153347, 'logps/chosen': -275.28643798828125, 'logps/rejected': -33.293663024902344, 'logits/chosen': -18.96917724609375, 'logits/rejected': -15.718038558959961, 'epoch': 0.03}
{'loss': 0.695, 'grad_norm': 42.42180252075195, 'learning_rate': 7.3e-07, 'rewards/chosen': 0.018598174676299095, 'rewards/rejected': 0.022368241101503372, 'rewards/accuracies': 0.0, 'rewards/margins': -0.003770066425204277, 'logps/chosen': -43.635169982910156, 'logps/rejected': -33.624732971191406, 'logits/chosen': -22.549617767333984, 'logits/rejected': -22.688173294067383, 'epoch': 0.03}
{'loss': 0.6917, 'grad_norm': 74.3895263671875, 'learning_rate': 7.2e-07, 'rewards/chosen': 0.00555419921875, 'rewards/rejected': 0.002584839006885886, 'rewards/accuracies': 1.0, 'rewards/margins': 0.002969360211864114, 'logps/chosen': -452.669189453125, 'logps/rejected': -296.76324462890625, 'logits/chosen': -16.265283584594727, 'logits/rejected': -14.820183753967285, 'epoch': 0.03}
{'loss': 0.6898, 'grad_norm': 83.74990844726562, 'learning_rate': 7.1e-07, 'rewards/chosen': 0.038109589368104935, 'rewards/rejected': 0.03134269639849663, 'rewards/accuracies': 1.0, 'rewards/margins': 0.006766892969608307, 'logps/chosen': -68.07762908935547, 'logps/rejected': -34.79926681518555, 'logits/chosen': -23.95868492126465, 'logits/rejected': -19.87616539001465, 'epoch': 0.03}
{'loss': 0.7004, 'grad_norm': 37.148345947265625, 'learning_rate': 7e-07, 'rewards/chosen': -0.00794067420065403, 'rewards/rejected': 0.0064292908646166325, 'rewards/accuracies': 0.0, 'rewards/margins': -0.014369964599609375, 'logps/chosen': -172.08033752441406, 'logps/rejected': -28.37068748474121, 'logits/chosen': -18.776996612548828, 'logits/rejected': -15.09766960144043, 'epoch': 0.03}
{'loss': 0.689, 'grad_norm': 69.76983642578125, 'learning_rate': 6.9e-07, 'rewards/chosen': 0.03620605543255806, 'rewards/rejected': 0.02789611928164959, 'rewards/accuracies': 1.0, 'rewards/margins': 0.00830993615090847, 'logps/chosen': -356.42974853515625, 'logps/rejected': -233.63543701171875, 'logits/chosen': -19.74236297607422, 'logits/rejected': -21.97968864440918, 'epoch': 0.03}
{'loss': 0.6989, 'grad_norm': 19.960498809814453, 'learning_rate': 6.800000000000001e-07, 'rewards/chosen': -0.008300400339066982, 'rewards/rejected': 0.003206634661182761, 'rewards/accuracies': 0.0, 'rewards/margins': -0.011507035233080387, 'logps/chosen': -34.854515075683594, 'logps/rejected': -43.20472717285156, 'logits/chosen': -16.65943145751953, 'logits/rejected': -16.967065811157227, 'epoch': 0.03}
{'loss': 0.6694, 'grad_norm': 43.43306350708008, 'learning_rate': 6.7e-07, 'rewards/chosen': 0.06557007133960724, 'rewards/rejected': 0.01748809777200222, 'rewards/accuracies': 1.0, 'rewards/margins': 0.04808197170495987, 'logps/chosen': -238.81201171875, 'logps/rejected': -157.9462127685547, 'logits/chosen': -19.1220703125, 'logits/rejected': -18.840497970581055, 'epoch': 0.03}
{'loss': 0.7135, 'grad_norm': 46.6343994140625, 'learning_rate': 6.6e-07, 'rewards/chosen': -0.023128127679228783, 'rewards/rejected': 0.017261123284697533, 'rewards/accuracies': 0.0, 'rewards/margins': -0.040389250963926315, 'logps/chosen': -55.89532470703125, 'logps/rejected': -59.19334030151367, 'logits/chosen': -20.532527923583984, 'logits/rejected': -21.05078125, 'epoch': 0.03}
{'loss': 0.6948, 'grad_norm': 119.62735748291016, 'learning_rate': 6.5e-07, 'rewards/chosen': 0.05051879957318306, 'rewards/rejected': 0.05385131761431694, 'rewards/accuracies': 0.0, 'rewards/margins': -0.0033325180411338806, 'logps/chosen': -911.7740478515625, 'logps/rejected': -917.1317749023438, 'logits/chosen': -21.47175407409668, 'logits/rejected': -21.195566177368164, 'epoch': 0.04}
{'loss': 0.6767, 'grad_norm': 60.38237762451172, 'learning_rate': 6.4e-07, 'rewards/chosen': -0.05584106594324112, 'rewards/rejected': -0.08908996731042862, 'rewards/accuracies': 1.0, 'rewards/margins': 0.0332489013671875, 'logps/chosen': -298.0970764160156, 'logps/rejected': -338.2717590332031, 'logits/chosen': -16.400646209716797, 'logits/rejected': -19.475011825561523, 'epoch': 0.04}
{'loss': 0.7114, 'grad_norm': 118.71910858154297, 'learning_rate': 6.3e-07, 'rewards/chosen': 0.03521118313074112, 'rewards/rejected': 0.07130127400159836, 'rewards/accuracies': 0.0, 'rewards/margins': -0.03609009087085724, 'logps/chosen': -766.4561157226562, 'logps/rejected': -1053.589599609375, 'logits/chosen': -16.214677810668945, 'logits/rejected': -19.113162994384766, 'epoch': 0.04}
{'loss': 0.6935, 'grad_norm': 115.61270904541016, 'learning_rate': 6.2e-07, 'rewards/chosen': 0.0036743164528161287, 'rewards/rejected': 0.0042968750931322575, 'rewards/accuracies': 0.0, 'rewards/margins': -0.0006225586403161287, 'logps/chosen': -460.198486328125, 'logps/rejected': -1137.833251953125, 'logits/chosen': -19.83109474182129, 'logits/rejected': -17.17994499206543, 'epoch': 0.04}
{'loss': 0.6921, 'grad_norm': 22.800960540771484, 'learning_rate': 6.1e-07, 'rewards/chosen': 0.0060638426803052425, 'rewards/rejected': 0.003879547119140625, 'rewards/accuracies': 1.0, 'rewards/margins': 0.0021842955611646175, 'logps/chosen': -175.23443603515625, 'logps/rejected': -101.57140350341797, 'logits/chosen': -15.893125534057617, 'logits/rejected': -16.24115753173828, 'epoch': 0.04}
{'loss': 0.6556, 'grad_norm': 86.6944580078125, 'learning_rate': 6e-07, 'rewards/chosen': 0.01882629469037056, 'rewards/rejected': -0.0577392578125, 'rewards/accuracies': 1.0, 'rewards/margins': 0.07656554877758026, 'logps/chosen': -346.0256652832031, 'logps/rejected': -318.26715087890625, 'logits/chosen': -24.91934585571289, 'logits/rejected': -24.64763832092285, 'epoch': 0.04}
{'loss': 0.6673, 'grad_norm': 77.91849517822266, 'learning_rate': 5.9e-07, 'rewards/chosen': 0.06327515095472336, 'rewards/rejected': 0.01085662841796875, 'rewards/accuracies': 1.0, 'rewards/margins': 0.05241852253675461, 'logps/chosen': -341.82672119140625, 'logps/rejected': -195.52963256835938, 'logits/chosen': -19.15052032470703, 'logits/rejected': -15.00732421875, 'epoch': 0.04}
{'loss': 0.7177, 'grad_norm': 81.97035217285156, 'learning_rate': 5.8e-07, 'rewards/chosen': -0.046051789075136185, 'rewards/rejected': 0.0025039673782885075, 'rewards/accuracies': 0.0, 'rewards/margins': -0.048555757850408554, 'logps/chosen': -113.14533996582031, 'logps/rejected': -219.29483032226562, 'logits/chosen': -18.68105697631836, 'logits/rejected': -20.4085636138916, 'epoch': 0.04}
{'loss': 0.6841, 'grad_norm': 24.304014205932617, 'learning_rate': 5.699999999999999e-07, 'rewards/chosen': 0.020266437903046608, 'rewards/rejected': 0.002119445940479636, 'rewards/accuracies': 1.0, 'rewards/margins': 0.018146991729736328, 'logps/chosen': -9.351465225219727, 'logps/rejected': -13.588638305664062, 'logits/chosen': -26.923648834228516, 'logits/rejected': -24.285402297973633, 'epoch': 0.04}
{'loss': 0.6567, 'grad_norm': 102.32083892822266, 'learning_rate': 5.6e-07, 'rewards/chosen': 0.09999389946460724, 'rewards/rejected': 0.02564697340130806, 'rewards/accuracies': 1.0, 'rewards/margins': 0.07434692978858948, 'logps/chosen': -750.35546875, 'logps/rejected': -514.297119140625, 'logits/chosen': -22.75301170349121, 'logits/rejected': -19.79310417175293, 'epoch': 0.04}
{'loss': 0.7385, 'grad_norm': 79.79769134521484, 'learning_rate': 5.5e-07, 'rewards/chosen': -0.11373291164636612, 'rewards/rejected': -0.02504272572696209, 'rewards/accuracies': 0.0, 'rewards/margins': -0.08869018405675888, 'logps/chosen': -551.2503662109375, 'logps/rejected': -195.9944610595703, 'logits/chosen': -19.346691131591797, 'logits/rejected': -20.518611907958984, 'epoch': 0.04}
{'loss': 0.6849, 'grad_norm': 98.29966735839844, 'learning_rate': 5.4e-07, 'rewards/chosen': -0.020642852410674095, 'rewards/rejected': -0.03728332743048668, 'rewards/accuracies': 1.0, 'rewards/margins': 0.016640475019812584, 'logps/chosen': -19.711467742919922, 'logps/rejected': -475.42047119140625, 'logits/chosen': -16.84698486328125, 'logits/rejected': -17.59246253967285, 'epoch': 0.05}
{'loss': 0.6922, 'grad_norm': 18.6312313079834, 'learning_rate': 5.3e-07, 'rewards/chosen': 0.013425064273178577, 'rewards/rejected': 0.01152648963034153, 'rewards/accuracies': 1.0, 'rewards/margins': 0.0018985746428370476, 'logps/chosen': -20.940601348876953, 'logps/rejected': -43.79936981201172, 'logits/chosen': -20.86272430419922, 'logits/rejected': -14.381875991821289, 'epoch': 0.05}
{'loss': 0.6799, 'grad_norm': 117.10785675048828, 'learning_rate': 5.2e-07, 'rewards/chosen': -0.008404540829360485, 'rewards/rejected': -0.03512725979089737, 'rewards/accuracies': 1.0, 'rewards/margins': 0.02672271803021431, 'logps/chosen': -44.68932342529297, 'logps/rejected': -126.65621948242188, 'logits/chosen': -20.91249656677246, 'logits/rejected': -20.724767684936523, 'epoch': 0.05}
{'loss': 0.7194, 'grad_norm': 75.04055786132812, 'learning_rate': 5.1e-07, 'rewards/chosen': -0.07329712063074112, 'rewards/rejected': -0.02140503004193306, 'rewards/accuracies': 0.0, 'rewards/margins': -0.05189209058880806, 'logps/chosen': -396.867431640625, 'logps/rejected': -496.48358154296875, 'logits/chosen': -21.2979679107666, 'logits/rejected': -20.510507583618164, 'epoch': 0.05}
{'loss': 0.6753, 'grad_norm': 108.58628845214844, 'learning_rate': 5e-07, 'rewards/chosen': 0.08493652194738388, 'rewards/rejected': 0.048919677734375, 'rewards/accuracies': 1.0, 'rewards/margins': 0.03601684421300888, 'logps/chosen': -1281.366943359375, 'logps/rejected': -525.9749145507812, 'logits/chosen': -18.779361724853516, 'logits/rejected': -19.009807586669922, 'epoch': 0.05}
{'loss': 0.65, 'grad_norm': 83.15432739257812, 'learning_rate': 4.9e-07, 'rewards/chosen': 0.02587280236184597, 'rewards/rejected': -0.06243896484375, 'rewards/accuracies': 1.0, 'rewards/margins': 0.08831176906824112, 'logps/chosen': -483.2022705078125, 'logps/rejected': -687.8341064453125, 'logits/chosen': -23.097505569458008, 'logits/rejected': -21.327512741088867, 'epoch': 0.05}
{'loss': 0.6805, 'grad_norm': 40.66707229614258, 'learning_rate': 4.8e-07, 'rewards/chosen': 0.02115173451602459, 'rewards/rejected': -0.00438346853479743, 'rewards/accuracies': 1.0, 'rewards/margins': 0.025535203516483307, 'logps/chosen': -98.5704574584961, 'logps/rejected': -31.13153839111328, 'logits/chosen': -20.636615753173828, 'logits/rejected': -19.262596130371094, 'epoch': 0.05}
{'loss': 0.6879, 'grad_norm': 65.55352783203125, 'learning_rate': 4.6999999999999995e-07, 'rewards/chosen': 0.01817302778363228, 'rewards/rejected': 0.007610321044921875, 'rewards/accuracies': 1.0, 'rewards/margins': 0.010562706738710403, 'logps/chosen': -29.44046974182129, 'logps/rejected': -55.866905212402344, 'logits/chosen': -21.980911254882812, 'logits/rejected': -22.531963348388672, 'epoch': 0.05}
{'loss': 0.6614, 'grad_norm': 140.07955932617188, 'learning_rate': 4.6e-07, 'rewards/chosen': -0.010006713680922985, 'rewards/rejected': -0.07454528659582138, 'rewards/accuracies': 1.0, 'rewards/margins': 0.06453857570886612, 'logps/chosen': -130.46795654296875, 'logps/rejected': -306.1424560546875, 'logits/chosen': -20.896333694458008, 'logits/rejected': -22.057878494262695, 'epoch': 0.05}
{'loss': 0.6635, 'grad_norm': 82.05534362792969, 'learning_rate': 4.5e-07, 'rewards/chosen': -0.01594238355755806, 'rewards/rejected': -0.07605590671300888, 'rewards/accuracies': 1.0, 'rewards/margins': 0.06011352315545082, 'logps/chosen': -472.1571044921875, 'logps/rejected': -603.71044921875, 'logits/chosen': -21.763181686401367, 'logits/rejected': -20.34857177734375, 'epoch': 0.05}
{'loss': 0.6727, 'grad_norm': 36.185585021972656, 'learning_rate': 4.3999999999999997e-07, 'rewards/chosen': 0.002626800676807761, 'rewards/rejected': -0.03872985765337944, 'rewards/accuracies': 1.0, 'rewards/margins': 0.041356656700372696, 'logps/chosen': -18.888566970825195, 'logps/rejected': -170.36849975585938, 'logits/chosen': -15.37565803527832, 'logits/rejected': -18.683732986450195, 'epoch': 0.06}
{'loss': 0.6769, 'grad_norm': 100.76653289794922, 'learning_rate': 4.2999999999999996e-07, 'rewards/chosen': 0.01702880859375, 'rewards/rejected': -0.01576538197696209, 'rewards/accuracies': 1.0, 'rewards/margins': 0.03279419243335724, 'logps/chosen': -628.6019287109375, 'logps/rejected': -679.14990234375, 'logits/chosen': -20.778942108154297, 'logits/rejected': -20.94708251953125, 'epoch': 0.06}
{'loss': 0.7325, 'grad_norm': 117.59773254394531, 'learning_rate': 4.1999999999999995e-07, 'rewards/chosen': -0.0953369140625, 'rewards/rejected': -0.01810913160443306, 'rewards/accuracies': 0.0, 'rewards/margins': -0.07722778618335724, 'logps/chosen': -746.4404296875, 'logps/rejected': -680.0298461914062, 'logits/chosen': -19.388628005981445, 'logits/rejected': -20.56577491760254, 'epoch': 0.06}
{'loss': 0.7077, 'grad_norm': 113.36116790771484, 'learning_rate': 4.0999999999999994e-07, 'rewards/chosen': -0.03600464016199112, 'rewards/rejected': -0.007092285435646772, 'rewards/accuracies': 0.0, 'rewards/margins': -0.02891235426068306, 'logps/chosen': -578.8276977539062, 'logps/rejected': -718.09326171875, 'logits/chosen': -22.58881378173828, 'logits/rejected': -20.843942642211914, 'epoch': 0.06}
{'loss': 0.6945, 'grad_norm': 25.053869247436523, 'learning_rate': 4e-07, 'rewards/chosen': 0.0018936156993731856, 'rewards/rejected': 0.0046134949661791325, 'rewards/accuracies': 0.0, 'rewards/margins': -0.002719879150390625, 'logps/chosen': -35.600799560546875, 'logps/rejected': -49.275394439697266, 'logits/chosen': -19.000566482543945, 'logits/rejected': -18.923091888427734, 'epoch': 0.06}
{'loss': 0.6605, 'grad_norm': 76.7833023071289, 'learning_rate': 3.8999999999999997e-07, 'rewards/chosen': 0.029773330315947533, 'rewards/rejected': -0.03654785081744194, 'rewards/accuracies': 1.0, 'rewards/margins': 0.06632117927074432, 'logps/chosen': -60.46445083618164, 'logps/rejected': -292.25634765625, 'logits/chosen': -14.491996765136719, 'logits/rejected': -17.866104125976562, 'epoch': 0.06}
{'loss': 0.7626, 'grad_norm': 152.8959197998047, 'learning_rate': 3.7999999999999996e-07, 'rewards/chosen': -0.007220459170639515, 'rewards/rejected': 0.12713928520679474, 'rewards/accuracies': 0.0, 'rewards/margins': -0.13435974717140198, 'logps/chosen': -242.151611328125, 'logps/rejected': -277.9190368652344, 'logits/chosen': -21.019365310668945, 'logits/rejected': -24.465286254882812, 'epoch': 0.06}
{'loss': 0.6932, 'grad_norm': 126.85839080810547, 'learning_rate': 3.7e-07, 'rewards/chosen': -0.014398956671357155, 'rewards/rejected': -0.014271545223891735, 'rewards/accuracies': 0.0, 'rewards/margins': -0.00012741144746541977, 'logps/chosen': -78.55252838134766, 'logps/rejected': -94.50121307373047, 'logits/chosen': -19.966150283813477, 'logits/rejected': -20.359352111816406, 'epoch': 0.06}
{'loss': 0.7024, 'grad_norm': 74.78489685058594, 'learning_rate': 3.6e-07, 'rewards/chosen': -0.01692810095846653, 'rewards/rejected': 0.0015808105235919356, 'rewards/accuracies': 0.0, 'rewards/margins': -0.0185089111328125, 'logps/chosen': -297.93328857421875, 'logps/rejected': -347.4814453125, 'logits/chosen': -21.78978157043457, 'logits/rejected': -22.995893478393555, 'epoch': 0.06}
{'loss': 0.6852, 'grad_norm': 44.304080963134766, 'learning_rate': 3.5e-07, 'rewards/chosen': -0.039958953857421875, 'rewards/rejected': -0.05598754808306694, 'rewards/accuracies': 1.0, 'rewards/margins': 0.016028594225645065, 'logps/chosen': -87.29549407958984, 'logps/rejected': -202.36984252929688, 'logits/chosen': -17.55649185180664, 'logits/rejected': -18.988468170166016, 'epoch': 0.06}
{'loss': 0.6755, 'grad_norm': 58.795257568359375, 'learning_rate': 3.4000000000000003e-07, 'rewards/chosen': 0.0008514404180459678, 'rewards/rejected': -0.03468780592083931, 'rewards/accuracies': 1.0, 'rewards/margins': 0.03553924709558487, 'logps/chosen': -92.84382629394531, 'logps/rejected': -254.18995666503906, 'logits/chosen': -18.607149124145508, 'logits/rejected': -17.887414932250977, 'epoch': 0.07}
